iter	RMSE
0	3753.706104
1	3504.189928
2	3278.016821
3	3074.386177
4	2881.976346
5	2698.380486
6	2533.542611
7	2379.837042
8	2234.921011
9	2104.52112
10	1977.057489
11	1864.821823
12	1762.095357
13	1667.360252
14	1578.973457
15	1496.908306
16	1422.941614
17	1356.131152
18	1290.361992
19	1230.586955
20	1178.862657
21	1129.988311
22	1086.842079
23	1048.629674
24	1011.546225
25	975.5169597
26	944.0299135
27	914.4077863
28	886.5108305
29	861.9339541
30	839.9546379
31	819.4905184
32	802.729917
33	786.1306592
34	770.4564288
35	756.5116276
36	745.6192455
37	734.2220192
38	723.0556013
39	713.5804244
40	704.013936
41	695.6641007
42	688.9931243
43	682.4645662
44	675.4240875
45	670.0770787
46	664.5679247
47	659.7840684
48	655.7281042
49	650.9724777
50	646.9921923
51	643.0024224
52	639.2610271
53	636.0880988
54	632.9935518
55	630.3800364
56	628.1140201
57	625.8690628
58	623.5466942
59	621.3793501
60	619.0050101
61	617.0573784
62	615.0562719
63	613.3880217
64	612.077725
65	610.4338625
66	608.8552691
67	607.5349878
68	606.0228528
69	604.9809146
70	603.8069141
71	602.9343319
72	601.9135338
73	600.8672716
74	600.1844528
75	599.3088467
76	598.4517664
77	597.4978365
78	596.5062338
79	595.8241587
80	595.1152681
81	594.3596243
82	593.8153439
83	593.2485806
84	592.7194553
85	591.9313278
86	591.3012534
87	590.882364
88	590.220972
89	589.7568354
90	589.1960764
91	588.6930386
92	588.0476779
93	587.6455332
94	587.1301445
95	586.7389317
96	586.1782002
97	585.7869787
98	585.3503049
99	584.9202936
100	584.6369246
101	584.26528
102	584.0242387
103	583.6996671
104	583.2927118
105	582.9339609
106	582.6834537
107	582.128994
108	581.9128085
109	581.4190845
110	581.2100159
111	580.9392068
112	580.4520556
113	580.1564829
114	579.8597121
115	579.5667039
116	579.2656333
117	578.97797
118	578.7215795
119	578.3284718
120	577.83499
121	577.6582926
122	577.4215437
123	577.1191904
124	576.8976934
125	576.6567047
126	576.3350686
127	576.1640944
128	575.9988504
129	575.8595464
130	575.7089254
131	575.2212021
132	574.8847323
133	574.7742143
134	574.4270853
135	574.0794323
136	573.9012269
137	573.5969021
138	573.4394373
139	573.1634943
140	572.8773445
141	572.524492
142	572.2782616
143	572.0369908
144	571.5205176
145	571.1504529
146	571.0402063
147	570.9402102
148	570.6727527
149	570.4454149
150	570.1431166
151	570.097866
152	569.9783232
153	569.9247505
154	569.7022943
155	569.6303585
156	569.4345018
157	569.2367486
158	569.1203062
159	568.753727
160	568.4756959
161	568.2447039
162	568.2312145
163	568.137878
164	568.1009334
165	567.988846
166	567.8998496
167	567.6499372
168	567.5395198
169	567.5220883
170	567.4894986
171	567.3070731
172	567.174584
173	566.8972922
174	566.7332019
175	566.7134555
176	566.6350063
177	566.4419759
178	566.4140531
179	566.3090749
180	566.1469758
181	566.0837184
182	566.0415582
183	565.8476998
184	565.6855469
185	565.6251171
186	565.309305
187	565.0179003
188	564.9200518
189	564.8829962
190	564.7475639
191	564.5362406
192	564.3014932
193	564.1138711
194	563.8424327
195	563.6734081
196	563.6043796
197	563.4072306
198	563.3955413
199	563.3211524
200	563.1174757
201	562.8856751
202	562.8779765
203	562.6521154
204	562.4812085
205	562.1542927
206	562.1168827
207	561.8781659
208	561.715225
209	561.5451695
210	561.2556796
211	561.0971142
212	560.9259317
213	560.8037095
214	560.6409506
215	560.3556013
216	560.0461995
217	559.8130386
218	559.6910596
219	559.4203989
220	559.2665901
221	559.0221313
222	558.9586709
223	558.7439275
224	558.5731764
225	558.5417421
226	558.4578752
227	558.1491135
228	558.0100497
229	557.7827982
230	557.6272969
231	557.4504467
232	557.4231261
233	557.3976256
234	557.2252199
235	556.9638173
236	556.8944353
237	556.8351017
238	556.7895469
239	556.7617326
240	556.5171042
241	556.2675635
242	556.0477193
243	555.927799
244	555.7631635
245	555.5399594
246	555.4824847
247	555.3056499
248	555.149571
249	555.0771906
250	554.8879302
251	554.5828392
252	554.442802
253	554.2084806
254	554.0192324
255	553.9101992
256	553.7427434
257	553.4914466
258	553.2119379
259	553.1462328
260	552.984845
261	552.9805202
262	552.7902095
263	552.5339854
264	552.2712797
265	552.2228661
266	552.0431305
267	551.7474319
268	551.5977478
269	551.551289
270	551.4591222
271	551.4551556
272	551.2718525
273	551.0432637
274	550.8469159
275	550.636367
276	550.5308051
277	550.4928244
278	550.2817816
279	550.0655495
280	549.9502283
281	549.7319355
282	549.680435
283	549.4931124
284	549.3502364
285	549.1250376
286	548.9271526
287	548.8175628
288	548.7290756
289	548.5715547
290	548.3404643
291	548.0713162
292	547.9289686
