iter	Passed	Remaining
0	135	134946
1	146	73319
2	156	52108
3	166	41482
4	176	35027
5	189	31419
6	199	28365
7	208	25832
8	217	23913
9	231	22877
10	240	21596
11	249	20565
12	258	19660
13	266	18801
14	276	18154
15	284	17525
16	294	17046
17	303	16582
18	312	16132
19	322	15780
20	330	15386
21	339	15096
22	347	14741
23	356	14515
24	365	14265
25	376	14085
26	387	13955
27	397	13785
28	406	13612
29	414	13413
30	424	13281
31	434	13140
32	443	12994
33	453	12896
34	462	12740
35	472	12650
36	480	12505
37	491	12436
38	501	12351
39	509	12233
40	518	12127
41	527	12042
42	547	12178
43	559	12153
44	570	12098
45	581	12068
46	591	12002
47	604	11994
48	617	11979
49	629	11964
50	639	11899
51	649	11847
52	660	11801
53	669	11736
54	681	11701
55	689	11631
56	699	11572
57	710	11535
58	719	11481
59	730	11449
60	741	11413
61	750	11351
62	759	11289
63	766	11215
64	774	11135
65	783	11089
66	791	11026
67	799	10961
68	808	10903
69	816	10844
70	823	10775
71	831	10713
72	838	10653
73	847	10599
74	855	10545
75	862	10485
76	869	10426
77	878	10381
78	886	10338
79	894	10291
80	902	10240
81	910	10188
82	918	10145
83	927	10111
84	934	10063
85	944	10035
86	958	10057
87	968	10032
88	983	10062
89	989	10006
90	1004	10033
91	1014	10011
92	1024	9994
93	1034	9966
94	1050	10003
95	1059	9974
96	1068	9950
97	1086	10001
98	1097	9991
99	1107	9967
100	1116	9941
101	1128	9931
102	1137	9901
103	1146	9874
104	1155	9851
105	1191	10048
106	1203	10046
107	1220	10077
108	1234	10091
109	1252	10130
110	1266	10140
111	1287	10207
112	1301	10216
113	1321	10270
114	1336	10288
115	1353	10316
116	1371	10351
117	1384	10347
118	1398	10351
119	1419	10411
120	1432	10405
121	1440	10368
122	1452	10356
123	1463	10338
124	1471	10299
125	1482	10281
126	1493	10269
127	1502	10233
128	1515	10231
129	1524	10202
130	1533	10172
131	1542	10142
132	1551	10117
133	1562	10099
134	1575	10092
135	1584	10067
136	1596	10059
137	1605	10030
138	1616	10010
139	1626	9993
140	1634	9960
141	1647	9952
142	1658	9942
143	1668	9918
144	1681	9915
145	1693	9903
146	1700	9867
147	1712	9855
148	1723	9842
149	1733	9821
150	1745	9816
151	1756	9798
152	1765	9771
153	1776	9758
154	1785	9734
155	1795	9711
156	1806	9702
157	1815	9673
158	1828	9673
159	1843	9678
160	1858	9684
161	1869	9671
162	1879	9649
163	1892	9644
164	1906	9645
165	1919	9643
166	1928	9620
167	1943	9624
168	1957	9625
169	1971	9626
170	1986	9630
171	1995	9608
172	2008	9601
173	2020	9592
174	2036	9600
175	2044	9571
176	2055	9559
177	2066	9544
